"DATE","RES ELE FEET","","STORAGE AF","","RES CHG AF","","TOC STO AF","","ABV TOC AF","","OUTFLOW CFS","","INFLOW CFS","","EVAP CFS","","RIV REL CFS","","PPT INC INCHES","","SPILL CFS","","DC PUMP CFS","","DIS PWR CFS",""
"01/31/1998","421.70","","542,031","","--","","--","","--","","4,536","","4,383","","14","","--","","0.00","","--","","59","","--",""
"02/01/1998","421.65","","541,615","","--","","--","","--","","4,069","","3,862","","3","","--","","0.11","","--","","59","","--",""
"02/02/1998","423.01","","552,988","","--","","--","","--","","3,869","","9,608","","6","","--","","0.57","","--","","57","","--",""
"02/03/1998","427.93","","595,317","","--","","--","","--","","17,586","","38,927","","0","","--","","2.96","","--","","52","","--",""
"02/04/1998","424.19","","562,981","","--","","--","","--","","36,044","","19,742","","0","","--","","1.75","","--","","54","","--",""
"02/05/1998","419.84","","526,682","","--","","--","","--","","30,441","","12,160","","19","","--","","0.10","","--","","53","","--",""
"02/06/1998","418.76","","517,895","","--","","--","","--","","19,015","","14,598","","14","","--","","0.17","","--","","58","","--",""
"02/07/1998","420.07","","528,563","","--","","--","","--","","17,468","","22,857","","11","","--","","0.94","","--","","63","","--",""
"02/08/1998","421.08","","536,881","","--","","--","","--","","19,204","","23,420","","22","","--","","1.15","","--","","72","","--",""
"02/09/1998","421.08","","536,881","","--","","--","","--","","14,989","","15,000","","11","","--","","0.46","","--","","73","","--",""
"02/10/1998","420.81","","534,653","","--","","--","","--","","12,557","","11,465","","31","","--","","0.00","","--","","72","","--",""
"02/11/1998","420.93","","535,641","","--","","--","","--","","10,497","","10,995","","0","","--","","0.27","","--","","56","","--",""
"02/12/1998","421.21","","537,961","","--","","--","","--","","9,092","","10,279","","17","","--","","0.00","","--","","59","","--",""
"02/13/1998","421.46","","540,037","","--","","--","","--","","9,467","","10,514","","0","","--","","0.50","","--","","70","","--",""
"02/14/1998","422.65","","549,970","","--","","--","","--","","10,810","","15,874","","56","","--","","0.73","","--","","69","","--",""
"02/15/1998","422.66","","550,054","","--","","--","","--","","16,241","","16,283","","0","","--","","0.66","","--","","70","","--",""
"02/16/1998","421.81","","542,944","","--","","--","","--","","15,622","","12,037","","0","","--","","0.66","","--","","67","","--",""
"02/17/1998","420.87","","535,147","","--","","--","","--","","14,392","","10,461","","0","","--","","0.41","","--","","67","","--",""
"02/18/1998","419.93","","527,416","","--","","--","","--","","12,968","","9,087","","17","","--","","0.00","","--","","68","","--",""
"02/19/1998","419.43","","523,340","","--","","--","","--","","11,346","","9,307","","16","","--","","0.15","","--","","61","","--",""
"02/20/1998","419.55","","524,318","","--","","--","","--","","11,484","","11,977","","0","","--","","0.63","","--","","62","","--",""
"02/21/1998","420.10","","528,810","","--","","--","","--","","9,191","","11,467","","11","","--","","0.01","","--","","63","","--",""
"02/22/1998","421.15","","537,463","","--","","--","","--","","9,033","","13,395","","0","","--","","0.58","","--","","65","","--",""
"02/23/1998","421.96","","544,190","","--","","--","","--","","8,872","","12,281","","17","","--","","0.00","","--","","65","","--",""
"02/24/1998","422.77","","550,975","","--","","--","","--","","7,837","","11,258","","0","","--","","0.55","","--","","65","","--",""
"02/25/1998","423.30","","555,440","","--","","--","","--","","7,222","","9,496","","23","","--","","0.00","","--","","69","","--",""
"02/26/1998","423.39","","556,201","","--","","--","","--","","7,296","","7,691","","11","","--","","0.00","","--","","69","","--",""
"02/27/1998","423.56","","557,639","","--","","--","","--","","6,825","","7,573","","23","","--","","0.00","","--","","65","","--",""
"02/28/1998","423.70","","558,823","","--","","--","","--","","5,724","","6,347","","26","","--","","0.00","","--","","64","","--",""
"03/01/1998","423.76","","559,330","","--","","--","","--","","5,692","","5,962","","14","","--","","0.00","","--","","69","","--",""
"03/02/1998","424.15","","562,640","","--","","--","","--","","5,085","","6,777","","23","","--","","0.00","","--","","72","","--",""
"03/03/1998","424.70","","567,333","","--","","--","","--","","4,548","","6,937","","23","","--","","0.00","","--","","72","","--",""
"03/04/1998","425.24","","571,959","","--","","--","","--","","4,300","","6,661","","29","","--","","0.00","","--","","71","","--",""
"03/05/1998","425.67","","575,660","","--","","--","","--","","4,393","","6,296","","37","","--","","0.00","","--","","68","","--",""
"03/06/1998","426.23","","580,496","","--","","--","","--","","4,280","","6,724","","6","","--","","1.07","","--","","68","","--",""
"03/07/1998","426.63","","583,968","","--","","--","","--","","4,289","","6,074","","35","","--","","0.00","","--","","68","","--",""
"03/08/1998","427.09","","587,967","","--","","--","","--","","4,208","","6,239","","15","","--","","0.06","","--","","68","","--",""
"03/09/1998","427.59","","592,342","","--","","--","","--","","4,294","","6,523","","23","","--","","0.00","","--","","71","","--",""
"03/10/1998","427.78","","594,005","","--","","--","","--","","4,507","","5,401","","56","","--","","0.00","","--","","77","","--",""
"03/11/1998","428.00","","595,930","","--","","--","","--","","4,667","","5,670","","32","","--","","0.00","","--","","78","","--",""
"03/12/1998","428.15","","597,254","","--","","--","","--","","4,659","","5,367","","41","","--","","0.00","","--","","71","","--",""
"03/13/1998","428.39","","599,372","","--","","--","","--","","4,494","","5,588","","26","","--","","0.01","","--","","66","","--",""
"03/14/1998","428.58","","601,048","","--","","--","","--","","4,495","","5,349","","9","","--","","0.00","","--","","76","","--",""
"03/15/1998","428.84","","603,342","","--","","--","","--","","4,465","","5,669","","47","","--","","0.00","","--","","80","","--",""
"03/16/1998","429.28","","607,245","","--","","--","","--","","4,563","","6,586","","56","","--","","0.00","","--","","82","","--",""
"03/17/1998","429.78","","611,693","","--","","--","","--","","4,556","","6,798","","0","","--","","0.09","","--","","77","","--",""
"03/18/1998","430.23","","615,712","","--","","--","","--","","5,080","","7,157","","51","","--","","0.00","","--","","82","","--",""
"03/19/1998","430.04","","614,009","","--","","--","","--","","8,269","","7,446","","36","","--","","0.00","","--","","83","","--",""
"03/20/1998","429.46","","608,846","","--","","--","","--","","10,365","","7,801","","39","","--","","0.00","","--","","82","","--",""
"03/21/1998","428.83","","603,254","","--","","--","","--","","10,535","","7,760","","44","","--","","0.00","","--","","81","","--",""
"03/22/1998","428.38","","599,283","","--","","--","","--","","10,357","","8,364","","9","","--","","0.14","","--","","80","","--",""
"03/23/1998","428.65","","601,666","","--","","--","","--","","9,979","","11,189","","9","","--","","0.02","","--","","79","","--",""
"03/24/1998","432.26","","634,018","","--","","--","","--","","9,628","","25,945","","6","","--","","1.00","","--","","76","","--",""
"03/25/1998","435.08","","659,909","","--","","--","","--","","11,085","","24,176","","37","","--","","0.63","","--","","76","","--",""
"03/26/1998","435.75","","666,145","","6,235","","--","","--","","12,719","","15,894","","31","","--","","0.00","","--","","75","","--",""
"03/27/1998","435.86","","667,169","","--","","--","","--","","12,215","","12,777","","47","","--","","0.00","","--","","74","","--",""
"03/28/1998","436.01","","668,566","","--","","--","","--","","10,905","","11,628","","19","","--","","0.00","","--","","73","","--",""
"03/29/1998","436.23","","670,628","","--","","--","","--","","9,138","","10,184","","6","","--","","0.03","","--","","75","","--",""
"03/30/1998","436.65","","674,564","","--","","--","","--","","7,532","","9,573","","56","","--","","0.00","","--","","77","","--",""
"03/31/1998","437.26","","680,299","","--","","--","","--","","6,994","","9,935","","50","","--","","0.17","","--","","75","","--",""
"04/01/1998","437.60","","683,508","","--","","--","","--","","7,121","","8,751","","13","","--","","0.50","","--","","74","","--",""
"04/02/1998","437.84","","685,774","","--","","--","","--","","7,219","","8,405","","44","","--","","0.00","","--","","72","","--",""
"04/03/1998","439.03","","690,895","","--","","--","","--","","6,928","","10,075","","38","","--","","0.26","","--","","71","","--",""
"04/04/1998","439.24","","697,076","","--","","--","","--","","6,711","","7,734","","32","","--","","0.01","","--","","71","","--",""
"04/05/1998","--","","699,086","","--","","--","","--","","--","","--","","10","","--","","--","","--","","70","","--",""
"04/06/1998","439.53","","701,862","","--","","--","","--","","7,281","","8,728","","48","","--","","0.00","","--","","71","","--",""
"04/07/1998","439.94","","705,786","","--","","--","","--","","7,469","","9,460","","13","","--","","0.30","","--","","72","","--",""
"04/08/1998","440.05","","706,842","","--","","--","","--","","7,553","","8,127","","42","","--","","0.00","","--","","76","","--",""
"04/09/1998","440.21","","708,383","","--","","--","","--","","7,153","","7,981","","51","","--","","0.01","","--","","76","","--",""
"04/10/1998","440.35","","709,732","","--","","--","","--","","7,645","","8,389","","64","","--","","0.00","","--","","77","","--",""
"04/11/1998","440.39","","710,118","","--","","--","","--","","7,478","","7,692","","19","","--","","0.00","","--","","78","","--",""
"04/12/1998","440.33","","709,539","","--","","--","","--","","7,465","","7,177","","3","","--","","0.12","","--","","79","","--",""
"04/13/1998","441.24","","718,322","","--","","--","","--","","6,932","","11,392","","32","","--","","0.94","","--","","77","","--",""
"04/14/1998","442.03","","725,985","","--","","--","","--","","7,214","","11,107","","29","","--","","0.08","","--","","74","","--",""
"04/15/1998","442.50","","730,571","","--","","--","","--","","7,302","","9,656","","42","","--","","0.00","","--","","80","","--",""
"04/16/1998","442.76","","733,108","","--","","--","","--","","7,334","","8,681","","68","","--","","0.00","","--","","94","","--",""
"04/17/1998","442.84","","733,889","","--","","--","","--","","7,465","","7,927","","68","","--","","0.00","","--","","109","","--",""
"04/18/1998","442.88","","734,279","","--","","--","","--","","7,497","","7,755","","62","","--","","0.00","","--","","108","","--",""
"04/19/1998","442.97","","735,157","","--","","--","","--","","7,485","","7,993","","65","","--","","0.00","","--","","109","","--",""
"04/20/1998","443.26","","738,003","","--","","--","","--","","6,998","","8,485","","52","","--","","0.00","","--","","114","","--",""
"04/21/1998","443.56","","740,949","","--","","--","","--","","7,273","","8,843","","85","","--","","0.00","","--","","117","","--",""
"04/22/1998","444.02","","745,468","","--","","--","","--","","7,276","","9,619","","65","","--","","0.00","","--","","118","","--",""
"04/23/1998","444.65","","751,694","","--","","--","","--","","7,275","","10,470","","56","","--","","0.00","","--","","109","","--",""
"04/24/1998","445.27","","757,838","","--","","--","","--","","8,087","","11,185","","0","","--","","1.02","","--","","92","","--",""
"04/25/1998","445.49","","760,026","","--","","--","","--","","9,115","","10,254","","36","","--","","0.00","","--","","103","","--",""
"04/26/1998","445.67","","761,816","","--","","--","","--","","8,712","","9,694","","79","","--","","0.00","","--","","108","","--",""
"04/27/1998","445.61","","761,219","","--","","--","","--","","9,764","","9,549","","86","","--","","0.00","","--","","121","","--",""
"04/28/1998","445.52","","760,324","","--","","--","","--","","10,023","","9,641","","69","","--","","0.00","","--","","128","","--",""
"04/29/1998","445.56","","760,722","","--","","--","","--","","10,280","","10,550","","69","","--","","0.00","","--","","131","","--",""
"04/30/1998","445.50","","760,126","","--","","--","","--","","10,396","","10,168","","73","","--","","0.00","","--","","134","","--",""
"05/01/1998","445.54","","760,523","","--","","--","","--","","10,601","","10,871","","69","","--","","0.00","","--","","136","","--",""
"05/02/1998","445.85","","763,606","","--","","--","","--","","11,222","","12,809","","33","","--","","0.76","","--","","116","","--",""
"05/03/1998","446.19","","767,000","","--","","--","","--","","11,335","","13,079","","33","","--","","0.70","","--","","109","","--",""
"05/04/1998","446.36","","768,702","","--","","--","","--","","11,102","","12,006","","46","","--","","0.29","","--","","102","","--",""
"05/05/1998","446.40","","769,102","","400","","--","","--","","11,050","","11,295","","43","","--","","0.31","","--","","64","","--",""
"05/06/1998","446.48","","769,903","","--","","--","","--","","11,245","","11,669","","20","","--","","0.35","","--","","89","","--",""
"05/07/1998","446.37","","768,802","","--","","--","","--","","11,255","","10,703","","3","","--","","0.10","","--","","90","","--",""
"05/08/1998","446.18","","766,900","","--","","--","","--","","10,998","","10,076","","36","","--","","0.00","","--","","95","","--",""
"05/09/1998","446.15","","766,600","","--","","--","","--","","10,513","","10,375","","13","","--","","0.00","","--","","96","","--",""
"05/10/1998","446.09","","765,999","","--","","--","","--","","9,707","","9,424","","20","","--","","0.67","","--","","93","","--",""
"05/11/1998","446.10","","766,099","","--","","--","","--","","8,959","","9,076","","66","","--","","0.00","","--","","94","","--",""
"05/12/1998","446.15","","766,600","","--","","--","","--","","9,288","","9,554","","13","","--","","0.41","","--","","40","","--",""
"05/13/1998","446.03","","765,398","","--","","--","","--","","10,552","","9,949","","3","","--","","0.36","","--","","18","","--",""
"05/14/1998","445.63","","761,418","","--","","--","","--","","11,110","","9,120","","17","","--","","0.03","","--","","56","","--",""
"05/15/1998","445.11","","756,247","","--","","--","","--","","10,939","","8,394","","63","","--","","0.00","","--","","83","","--",""
"05/16/1998","444.57","","750,903","","--","","--","","--","","10,956","","8,338","","76","","--","","0.00","","--","","86","","--",""
"05/17/1998","443.99","","745,172","","--","","--","","--","","10,891","","8,034","","33","","--","","0.00","","--","","97","","--",""
"05/18/1998","443.38","","739,182","","--","","--","","--","","10,535","","7,616","","101","","--","","0.00","","--","","105","","--",""
"05/19/1998","442.77","","733,206","","--","","--","","--","","10,253","","7,341","","101","","--","","0.00","","--","","--","","--",""
"05/20/1998","442.54","","730,961","","--","","--","","--","","8,951","","7,891","","71","","--","","0.00","","--","","--","","--",""
"05/21/1998","442.44","","729,986","","--","","--","","--","","7,875","","7,428","","45","","--","","0.07","","--","","--","","--",""
"05/22/1998","442.68","","732,327","","--","","--","","--","","6,899","","8,158","","78","","--","","0.00","","--","","127","","--",""
"05/23/1998","442.86","","734,084","","--","","--","","--","","6,268","","7,235","","81","","--","","0.00","","--","","142","","--",""
"05/24/1998","443.05","","735,941","","--","","--","","--","","6,077","","7,072","","59","","--","","0.00","","--","","147","","--",""
"05/25/1998","443.53","","740,655","","--","","--","","--","","5,969","","8,375","","29","","--","","0.06","","--","","131","","--",""
"05/26/1998","444.33","","748,531","","--","","--","","--","","5,451","","9,491","","69","","--","","0.00","","--","","138","","--",""
"05/27/1998","444.55","","750,706","","--","","--","","--","","7,584","","8,733","","53","","--","","0.00","","--","","119","","--",""
"05/28/1998","444.65","","751,694","","--","","--","","--","","8,541","","9,052","","13","","--","","0.09","","--","","108","","--",""
"05/29/1998","444.86","","753,769","","--","","--","","--","","8,830","","9,886","","10","","--","","1.49","","--","","100","","--",""
"05/30/1998","444.86","","753,769","","--","","--","","--","","8,906","","8,929","","23","","--","","0.02","","--","","109","","--",""
"05/31/1998","444.69","","752,089","","--","","--","","--","","8,998","","8,227","","76","","--","","0.00","","--","","114","","--",""
"06/01/1998","444.56","","750,804","","--","","--","","--","","9,567","","8,985","","66","","--","","0.00","","--","","124","","--",""
"06/02/1998","444.76","","752,781","","--","","--","","--","","8,199","","9,274","","79","","--","","0.00","","--","","123","","--",""
"06/03/1998","445.24","","757,540","","--","","--","","--","","6,926","","9,404","","79","","--","","0.00","","--","","129","","--",""
"06/04/1998","445.62","","761,319","","--","","--","","--","","6,246","","8,201","","50","","--","","0.00","","--","","129","","--",""
"06/05/1998","446.23","","767,401","","--","","--","","--","","5,624","","8,747","","56","","--","","0.00","","--","","147","","--",""
"06/06/1998","446.88","","773,908","","--","","--","","--","","5,463","","8,807","","63","","--","","0.00","","--","","153","","--",""
"06/07/1998","448.07","","785,896","","--","","--","","--","","5,099","","11,200","","57","","--","","0.12","","--","","129","","--",""
"06/08/1998","449.27","","798,084","","--","","--","","--","","5,125","","11,293","","24","","--","","0.00","","--","","119","","--",""
"06/09/1998","450.15","","807,075","","--","","--","","--","","5,819","","10,397","","44","","--","","0.00","","--","","135","","--",""
"06/10/1998","450.90","","814,778","","--","","--","","--","","6,603","","10,568","","82","","--","","0.00","","--","","138","","--",""
"06/11/1998","451.85","","824,587","","--","","--","","--","","6,352","","11,335","","38","","--","","0.00","","--","","140","","--",""
"06/12/1998","452.68","","833,204","","--","","--","","--","","6,065","","10,450","","41","","--","","0.00","","--","","150","","--",""
"06/13/1998","454.02","","847,191","","--","","--","","--","","5,835","","12,943","","56","","--","","0.00","","--","","161","","--",""
"06/14/1998","455.26","","860,244","","--","","--","","--","","6,341","","13,009","","87","","--","","0.00","","--","","171","","--",""
"06/15/1998","456.36","","871,894","","--","","--","","--","","7,236","","13,201","","91","","--","","0.00","","--","","179","","--",""
"06/16/1998","457.01","","878,804","","--","","--","","--","","9,319","","12,901","","99","","--","","0.00","","--","","191","","--",""
"06/17/1998","457.32","","882,117","","--","","--","","--","","10,520","","12,342","","152","","--","","0.00","","--","","181","","--",""
"06/18/1998","457.59","","885,002","","--","","--","","--","","9,823","","11,384","","106","","--","","0.00","","--","","193","","--",""
"06/19/1998","457.88","","888,102","","--","","--","","--","","9,254","","10,920","","103","","--","","0.00","","--","","179","","--",""
"06/20/1998","458.29","","892,500","","--","","--","","--","","8,339","","10,648","","92","","--","","0.00","","--","","508","","--",""
"06/21/1998","458.84","","898,408","","--","","--","","--","","8,029","","11,104","","96","","--","","0.00","","--","","209","","--",""
"06/22/1998","459.35","","903,907","","--","","--","","--","","8,880","","11,724","","72","","--","","0.00","","--","","208","","--",""
"06/23/1998","459.65","","907,148","","--","","--","","--","","9,872","","11,577","","72","","--","","0.00","","--","","208","","--",""
"06/24/1998","459.83","","909,092","","--","","--","","--","","9,601","","10,653","","72","","--","","0.00","","--","","209","","--",""
"06/25/1998","460.00","","910,928","","--","","--","","--","","9,132","","10,162","","104","","--","","0.00","","--","","209","","--",""
"06/26/1998","460.13","","912,340","","--","","--","","--","","9,343","","10,126","","72","","--","","0.00","","--","","208","","--",""
"06/27/1998","459.99","","910,820","","--","","--","","--","","9,998","","9,336","","104","","--","","0.00","","--","","207","","--",""
"06/28/1998","459.92","","910,064","","--","","--","","--","","9,571","","9,287","","97","","--","","0.00","","--","","210","","--",""
"06/29/1998","459.86","","909,416","","--","","--","","--","","9,599","","9,373","","100","","--","","0.00","","--","","227","","--",""
"06/30/1998","459.79","","908,660","","--","","--","","--","","8,940","","8,641","","83","","--","","0.00","","--","","228","","--",""
"07/01/1998","459.90","","909,848","","--","","--","","--","","7,656","","8,348","","93","","--","","0.00","","--","","225","","--",""
"07/02/1998","460.11","","912,122","","--","","--","","--","","6,948","","8,192","","97","","--","","0.00","","--","","229","","--",""
"07/03/1998","460.39","","915,163","","--","","--","","--","","6,037","","7,656","","86","","--","","0.00","","--","","235","","--",""
"07/04/1998","460.68","","918,311","","--","","--","","--","","5,487","","7,164","","90","","--","","0.00","","--","","245","","--",""
"07/05/1998","461.02","","922,004","","--","","--","","--","","5,052","","7,004","","90","","--","","0.00","","--","","230","","--",""
"07/06/1998","461.38","","925,934","","--","","--","","--","","4,889","","6,968","","98","","--","","0.00","","--","","251","","--",""
"07/07/1998","461.76","","930,082","","--","","--","","--","","4,399","","6,609","","120","","--","","0.00","","--","","240","","--",""
"07/08/1998","462.10","","933,800","","--","","--","","--","","4,361","","6,359","","123","","--","","0.00","","--","","231","","--",""
"07/09/1998","462.39","","936,982","","--","","--","","--","","4,243","","5,978","","131","","--","","0.00","","--","","245","","--",""
"07/10/1998","462.64","","939,726","","--","","--","","--","","4,370","","5,870","","116","","--","","0.00","","--","","239","","--",""
"07/11/1998","462.96","","943,238","","--","","--","","--","","4,231","","6,089","","87","","--","","0.00","","--","","253","","--",""
"07/12/1998","463.22","","946,104","","--","","--","","--","","4,249","","5,811","","117","","--","","0.00","","--","","253","","--",""
"07/13/1998","463.39","","947,980","","--","","--","","--","","4,219","","5,274","","109","","--","","0.00","","--","","256","","--",""
"07/14/1998","463.51","","949,304","","--","","--","","--","","4,247","","5,024","","110","","--","","0.00","","--","","258","","--",""
"07/15/1998","463.51","","949,304","","--","","--","","--","","4,231","","4,355","","124","","--","","0.00","","--","","257","","--",""
"07/16/1998","463.57","","949,966","","--","","--","","--","","4,246","","4,726","","146","","--","","0.00","","--","","268","","--",""
"07/17/1998","463.58","","950,077","","--","","--","","--","","4,245","","4,450","","150","","--","","0.00","","--","","266","","--",""
"07/18/1998","463.50","","949,194","","--","","--","","--","","4,242","","3,921","","124","","--","","0.00","","--","","259","","--",""
"07/19/1998","463.41","","948,201","","--","","--","","--","","4,533","","4,179","","146","","--","","0.00","","--","","271","","--",""
"07/20/1998","463.32","","947,208","","--","","--","","--","","4,323","","3,950","","128","","--","","0.00","","--","","272","","--",""
"07/21/1998","463.23","","946,215","","--","","--","","--","","4,271","","3,924","","153","","--","","0.00","","--","","242","","--",""
"07/22/1998","463.09","","944,670","","--","","--","","--","","4,262","","3,607","","124","","--","","0.00","","--","","234","","--",""
"07/23/1998","462.87","","942,250","","--","","--","","--","","4,589","","3,409","","40","","--","","0.00","","--","","234","","--",""
"07/24/1998","462.82","","941,702","","--","","--","","--","","4,080","","3,927","","124","","--","","0.00","","--","","248","","--",""
"07/25/1998","--","","940,933","","--","","--","","--","","--","","--","","120","","--","","--","","--","","250","","--",""
"07/26/1998","462.56","","938,848","","--","","--","","--","","4,195","","3,268","","124","","--","","0.00","","--","","257","","--",""
"07/27/1998","462.35","","936,543","","--","","--","","--","","4,301","","3,252","","113","","--","","0.00","","--","","267","","--",""
